en,az,ru
+₼50 / day,+₼50 / gün,+₼50 / сутки
"/ day · Sahil, Baku","/ gün · Sahil, Bakı","/ сутки · Сахил, Баку"
/ seat · ₼50 whole car,/ yer · bütün avtomobil ₼50,/ место · вся машина ₼50
01 Sep · 1 day · Sahil,01 sen · 1 gün · Sahil,01 сен · 1 сутки · Сахил
02–04 Oct · 2 days · Yasamal,02–04 okt · 2 gün · Yasamal,02–04 окт · 2 суток · Ясамал
05 Oct · Port Baku,05 okt · Port Baku,05 окт · Порт Баку
"06 Sep, by you","06 sen, siz","06 сен, вы"
08 Sep · 1 day,08 sen · 1 gün,08 сен · 1 сутки
09:42 · Sent,09:42 · Göndərildi,09:42 · Отправлено
0:15 left,0:15 qalıb,Осталось 0:15
1 Sep,1 sen,1 сен
1 Sep · 1 day,1 sen · 1 gün,1 сен · 1 сутки
1 live offer · 1 new request,1 aktiv təklif · 1 yeni sorğu,1 активное предложение · 1 новая заявка
1 min ago,1 dəq əvvəl,1 мин назад
1 min walk · 380 km,1 dəq piyada · 380 km,1 мин пешком · 380 км
1 of 4 · Front of the cart,1 / 4 · Karın önü,1 из 4 · Перед карта
1 of 5 · Front of the car,1 / 5 · Avtomobilin önü,1 из 5 · Перед машины
1 of 5 · Front side,1 / 5 · Ön tərəf,1 из 5 · Лицевая сторона
1 passenger · 1 cabin bag,1 sərnişin · 1 əl çantası,1 пассажир · 1 ручная кладь
1 seat,1 yer,1 место
1 seat left,1 yer qalıb,Осталось 1 место
1 seat × ₼15,1 yer × ₼15,1 место × ₼15
"1,000 minutes","1,000 dəqiqə","1,000 минут"
"10,000 minutes","10,000 dəqiqə","10,000 минут"
10-digit tax ID,10 rəqəmli VÖEN,ИНН из 10 цифр
100 minutes,100 dəqiqə,100 минут
12 Sep,12 sen,12 сен
12.4 km,12.4 km,12.4 км
120 minutes,120 dəqiqə,120 минут
14 Sep,14 sen,14 сен
14 Sep · 2 hours,14 sen · 2 saat,14 сен · 2 часа
14 Sep · Sea Breeze · 2 hours,14 sen · Sea Breeze · 2 saat,14 сен · Sea Breeze · 2 часа
"15 Oct, 10:00 · Nizami St.","15 okt, 10:00 · Nizami küç.","15 окт, 10:00 · ул. Низами"
15–18 Oct · 3 days · Nizami St.,15–18 okt · 3 gün · Nizami küç.,15–18 окт · 3 суток · ул. Низами
18 Sep,18 sen,18 сен
18 Sep · 60 min,18 sen · 60 dəq,18 сен · 60 мин
18 Sep · 60 min · 12.4 km,18 sen · 60 dəq · 12.4 km,18 сен · 60 мин · 12.4 км
180 minutes,180 dəqiqə,180 минут
1:42 left,1:42 qalıb,Осталось 1:42
2 days × ₼120,2 gün × ₼120,2 суток × ₼120
2 hours,2 saat,2 часа
2 min ago,2 dəq əvvəl,2 мин назад
2 min walk · 260 km,2 dəq piyada · 260 km,2 мин пешком · 260 км
2 of 5 · Back side,2 / 5 · Arxa tərəf,2 из 5 · Оборотная сторона
2 of 5 · Rear of the car,2 / 5 · Avtomobilin arxası,2 из 5 · Зад машины
2 passengers · to the Airport · 10-AB-123,2 sərnişin · Hava limanına · 10-AB-123,2 пассажира · в аэропорт · 10-AB-123
2 people · to Beach Club · pickup at your pin,2 nəfər · Beach Club-a · pin olan yerdən,2 человека · в Beach Club · посадка у метки
2 seats,2 yer,2 места
2 seats left,2 yer qalıb,Осталось 2 места
2 seats · 64% · 5 min walk,2 yer · 64% · 5 dəq piyada,2 места · 64% · 5 мин пешком
2 seats × ₼30,2 yer × ₼30,2 места × ₼30
"2,000 minutes","2,000 dəqiqə","2,000 минут"
20 Sep · 09:00 · 2 seats,20 sen · 09:00 · 2 yer,20 сен · 09:00 · 2 места
200 minutes,200 dəqiqə,200 минут
212 of 600 min,600 dəq-dən 212,212 из 600 мин
212 of 600 min used,600 dəq-dən 212 istifadə olunub,Использовано 212 из 600 мин
22 Sep 10:00 → 23 Sep 10:00,22 sen 10:00 → 23 sen 10:00,22 сен 10:00 → 23 сен 10:00
"22–23 Sep · Pickup in Sahil, Baku","22–23 sen · Götürmə: Sahil, Bakı","22–23 сен · Получение: Сахил, Баку"
23 Sep 2026 at 09:39,"23 sen 2026, 09:39","23 сен 2026, 09:39"
24 Sep · 10:00,24 sen · 10:00,24 сен · 10:00
"24 Sep, 10:00 → 26 Sep, 10:00","24 sen, 10:00 → 26 sen, 10:00","24 сен, 10:00 → 26 сен, 10:00"
24 km,24 km,24 км
24–26 Sep · you earn ₼216,24–26 sen · qazancınız ₼216,24–26 сен · вы заработаете ₼216
24–26 booked by Aysel · tap days to block,24–26 Aysel sifariş edib · bağlamaq üçün günə toxunun,"24–26 забронировала Айсель · нажмите дни, чтобы закрыть"
"26 Sep, 10:00 · Baku, Sahil","26 sen, 10:00 · Bakı, Sahil","26 сен, 10:00 · Баку, Сахил"
27 Sep 2026 · 10:00,27 sen 2026 · 10:00,27 сен 2026 · 10:00
27 Sep · 10:00 · Mercedes-AMG GT,27 sen · 10:00 · Mercedes-AMG GT,27 сен · 10:00 · Mercedes-AMG GT
27 Sep · 10:00 · ₼35,27 sen · 10:00 · ₼35,27 сен · 10:00 · ₼35
28 Aug,28 avq,28 авг
28–29 Sep · 1 day,28–29 sen · 1 gün,28–29 сен · 1 сутки
29–30 Sep · Nizami St.,29–30 sen · Nizami küç.,29–30 сен · ул. Низами
2nd time ₼10 · 3rd time ₼25 · after that the account is paused.,2-ci dəfə ₼10 · 3-cü dəfə ₼25 · sonra hesab dayandırılır.,2-й раз ₼10 · 3-й раз ₼25 · затем аккаунт приостанавливается.
3 of 5 · Front side,3 / 5 · Ön tərəf,3 из 5 · Лицевая сторона
3 of 5 · Left side,3 / 5 · Sol tərəf,3 из 5 · Левая сторона
3 seats,3 yer,3 места
3 seats left,3 yer qalıb,Осталось 3 места
"3,000 minutes","3,000 dəqiqə","3,000 минут"
30 minutes,30 dəqiqə,30 минут
300 km / day,300 km / gün,300 км / сутки
300 km / day included,300 km / gün daxildir,300 км / сутки включено
300 minutes,300 dəqiqə,300 минут
32 min,32 dəq,32 мин
4 min walk · 410 km,4 dəq piyada · 410 km,4 мин пешком · 410 км
4 of 5 · Back side,4 / 5 · Arxa tərəf,4 из 5 · Оборотная сторона
4 of 5 · Right side,4 / 5 · Sağ tərəf,4 из 5 · Правая сторона
4 seats,4 yer,4 места
4 seats · 92% · 2 min walk,4 yer · 92% · 2 dəq piyada,4 места · 92% · 2 мин пешком
400 minutes,400 dəqiqə,400 минут
"42,000 km","42,000 km","42,000 км"
5 cars in Baku,Bakıda 5 avtomobil,5 машин в Баку
5 min ago,5 dəq əvvəl,5 мин назад
5 of 5 · ID next to your face,5 / 5 · Şəxsiyyət vəsiqəsi üzünüzün yanında,5 из 5 · Удостоверение рядом с лицом
5 of 5 · Selfie,5 / 5 · Selfi,5 из 5 · Селфи
5 of 6 · Inside the car,5 / 6 · Salon,5 из 6 · Салон
